Date,Open,High,Low,Close,Adj Close,Volume
2014-01-08,5316.000000,5324.399902,5295.399902,5324.399902,5324.399902,459116400
2014-01-09,5324.399902,5324.399902,5306.299805,5312.399902,5312.399902,470881200
2014-01-12,5312.399902,5318.000000,5288.100098,5292.100098,5292.100098,394518800
2014-01-13,5292.100098,5292.100098,5207.500000,5212.000000,5212.000000,604656400
2014-01-14,5212.000000,5256.100098,5212.000000,5245.399902,5245.399902,536087300
2014-01-15,5245.399902,5309.100098,5245.399902,5309.100098,5309.100098,612858300
2014-01-16,5309.100098,5319.299805,5283.899902,5305.899902,5305.899902,548867400
2014-01-19,5305.899902,5306.399902,5259.899902,5295.000000,5295.000000,0
2014-01-20,5295.000000,5331.500000,5276.100098,5331.500000,5331.500000,450256100
2014-01-21,5331.500000,5331.500000,5285.399902,5319.799805,5319.799805,496237000
2014-01-22,5319.799805,5320.600098,5252.799805,5263.000000,5263.000000,603622800
2014-01-23,5263.000000,5278.600098,5240.899902,5240.899902,5240.899902,614734800
2014-01-27,5240.899902,5240.899902,5158.899902,5175.100098,5175.100098,715211000
2014-01-28,5175.100098,5229.000000,5175.100098,5229.000000,5229.000000,606921800
2014-01-29,5229.100098,5229.100098,5161.500000,5188.100098,5188.100098,654072200
2014-01-30,5188.100098,5196.700195,5169.899902,5190.000000,5190.000000,602911200
2014-02-02,5190.000000,5198.299805,5163.399902,5187.899902,5187.899902,438428700
2014-02-03,5187.899902,5187.899902,5092.000000,5097.100098,5097.100098,795704900
2014-02-04,5097.100098,5111.299805,5052.200195,5070.299805,5070.299805,671930900
2014-02-05,5070.299805,5131.399902,5070.299805,5131.399902,5131.399902,563186900
2014-02-06,5131.399902,5168.600098,5131.399902,5166.500000,5166.500000,662850400
2014-02-09,5166.500000,5222.100098,5166.500000,5222.100098,5222.100098,522475700
2014-02-10,5222.100098,5261.899902,5204.799805,5254.500000,5254.500000,496460700
2014-02-11,5254.500000,5310.100098,5254.500000,5310.100098,5310.100098,722016500
2014-02-12,5309.700195,5332.500000,5303.399902,5308.100098,5308.100098,628083200
2014-02-13,5308.100098,5356.299805,5308.100098,5356.299805,5356.299805,598877100
2014-02-16,5359.899902,5382.899902,5355.399902,5382.899902,5382.899902,571830000
2014-02-17,5382.899902,5396.600098,5379.700195,5392.799805,5392.799805,603902500
2014-02-18,5395.500000,5421.000000,5394.200195,5408.200195,5408.200195,805964000
2014-02-19,5408.200195,5441.500000,5400.000000,5412.299805,5412.299805,975732400
2014-02-20,5412.299805,5452.399902,5412.299805,5438.700195,5438.700195,756673200
2014-02-23,5438.700195,5455.500000,5425.100098,5440.200195,5440.200195,745483200
2014-02-24,5440.200195,5461.700195,5427.299805,5433.799805,5433.799805,667759500
2014-02-25,5433.799805,5452.700195,5422.399902,5437.000000,5437.000000,723598800
2014-02-26,5437.000000,5437.000000,5406.200195,5411.399902,5411.399902,731139000
2014-02-27,5411.399902,5441.000000,5401.600098,5404.799805,5404.799805,1005022500
2014-03-02,5404.799805,5404.799805,5340.299805,5384.299805,5384.299805,675589600
2014-03-03,5382.700195,5408.200195,5369.500000,5400.200195,5400.200195,687294300
2014-03-04,5406.200195,5453.100098,5406.200195,5446.200195,5446.200195,830836600
2014-03-05,5446.200195,5446.200195,5422.700195,5445.899902,5445.899902,654488400
2014-03-06,5445.899902,5462.299805,5444.299805,5462.299805,5462.299805,596034100
2014-03-09,5462.299805,5462.299805,5409.500000,5411.500000,5411.500000,608548800
2014-03-10,5411.399902,5433.399902,5404.399902,5413.799805,5413.799805,801106200
2014-03-11,5413.799805,5413.799805,5345.899902,5384.200195,5384.200195,702200200
2014-03-12,5384.200195,5425.500000,5384.200195,5412.600098,5412.600098,653265800
2014-03-13,5412.600098,5412.600098,5329.399902,5329.399902,5329.399902,601098600
2014-03-16,5329.399902,5331.100098,5311.399902,5317.600098,5317.600098,580294700
2014-03-17,5317.600098,5362.200195,5317.600098,5344.600098,5344.600098,629180000
